epoch,train_loss_list,train_acc_list,val_loss_list,val_acc_list,time_elapsed
1,1.5784075498580932,0.4149375,0.914920031706492,0.6456666666666667,0m4s
2,0.8259034469922384,0.6873541666666667,0.7235110259056091,0.722,0m8s
3,0.6981292415459951,0.7334791666666667,0.6354739874204,0.7568333333333334,0m12s
4,0.625613517999649,0.7572083333333334,0.5752874641418457,0.7791666666666667,0m16s
5,0.5789555760224661,0.7764375,0.5474382638136546,0.7996666666666666,0m20s
6,0.5436536914507548,0.7939166666666667,0.5165265315373738,0.8029166666666666,0m23s
7,0.51381369638443,0.8075,0.4750745194753011,0.8235833333333333,0m27s
8,0.4852461830774943,0.8190208333333333,0.45958592255910236,0.8333333333333334,0m31s
9,0.4620071763197581,0.8288958333333334,0.44065542610486347,0.8390833333333333,0m35s
10,0.4454610313574473,0.8355625,0.4381807835102081,0.8375833333333333,0m39s
11,0.42987822731335956,0.8412708333333333,0.41092761357625324,0.8516666666666667,0m43s
12,0.41554949124654134,0.8470833333333333,0.39253907767931623,0.8589166666666667,0m46s
13,0.40407515223821006,0.8515416666666666,0.3850391948223114,0.8598333333333333,0m50s
14,0.3926008368333181,0.855,0.3817909080982208,0.8575833333333334,0m54s
15,0.3823280482292175,0.859875,0.36980566175778706,0.8631666666666666,0m58s
16,0.3763818733692169,0.8616875,0.3645976771513621,0.8650833333333333,1m2s
17,0.3669938625097275,0.8638541666666667,0.35814100241661073,0.8673333333333333,1m6s
18,0.35895755716164907,0.8678541666666667,0.35074810568491616,0.8690833333333333,1m9s
19,0.3520756806532542,0.8697291666666667,0.3471387353738149,0.8699166666666667,1m13s
20,0.34796802496910095,0.872,0.3424227338631948,0.87475,1m17s
21,0.3405104681253433,0.8733541666666667,0.34038161333402,0.8744166666666666,1m21s
22,0.33735241083304085,0.8758333333333334,0.34036674912770587,0.8705,1m25s
23,0.32987978160381315,0.87825,0.33070445867379505,0.8760833333333333,1m29s
24,0.32721144954363507,0.879125,0.3335620760122935,0.8750833333333333,1m32s
25,0.32090927437941236,0.8813958333333334,0.31532552949587506,0.8828333333333334,1m36s
26,0.3167129551966985,0.8817291666666667,0.31636373551686603,0.8815,1m40s
27,0.31278643107414245,0.88375,0.31900195169448853,0.8801666666666667,1m44s
28,0.30929583561420443,0.8853958333333334,0.31001336375872296,0.8849166666666667,1m48s
29,0.30596985936164856,0.8861666666666667,0.30454551748434705,0.88625,1m52s
30,0.3013086355527242,0.8884791666666667,0.302793913046519,0.8858333333333334,1m55s
31,0.29762355438868204,0.8894583333333334,0.30350196035703025,0.8866666666666667,1m59s
32,0.2964854339361191,0.8897916666666666,0.30597171354293823,0.8836666666666667,2m3s
33,0.2918808153072993,0.8913125,0.305487415711085,0.8860833333333333,2m7s
34,0.28903614461421967,0.8925208333333333,0.31045697410901385,0.8844166666666666,2m11s
35,0.28752060544490815,0.8933958333333333,0.3086693069140116,0.8846666666666667,2m14s
36,0.2830843542019526,0.895125,0.29584502855936684,0.88775,2m18s
37,0.278637206753095,0.8967291666666667,0.2934615425268809,0.89025,2m22s
38,0.27706527201334635,0.8979166666666667,0.2896293292840322,0.8905833333333333,2m26s
39,0.27230207296212516,0.8993541666666667,0.2894459422429403,0.89125,2m30s
40,0.27219416201114655,0.8986666666666666,0.29359550174077353,0.8894166666666666,2m34s
41,0.26825718983014424,0.90025,0.28793367139498394,0.8928333333333334,2m37s
42,0.26455232413609825,0.9021458333333333,0.2818121323188146,0.8938333333333334,2m41s
43,0.2632976030309995,0.9021458333333333,0.2832432854572932,0.8958333333333334,2m45s
44,0.25998726944128675,0.9036875,0.28389688324928286,0.89175,2m49s
45,0.25861523737510045,0.9034791666666667,0.2862070852915446,0.8940833333333333,2m53s
46,0.255867862145106,0.90475,0.2772714943488439,0.89525,2m57s
47,0.2522066653768222,0.90625,0.2801652040084203,0.8955,3m0s
48,0.2500286465684573,0.9069583333333333,0.28039898292223614,0.8976666666666666,3m4s
49,0.2483331820567449,0.9072708333333334,0.28169429175059,0.8919166666666667,3m8s
50,0.24639755028486252,0.9086458333333334,0.27791391718387604,0.8968333333333334,3m12s
